Regenerative Action,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Consent-Based Resource Mandates,production-and-resourcing,📉 Economics,⚒️ Human and Physical Resources,Liberation,"<p>Implement “Consent-Based Resource Mandates” where all major allocations of human time and physical assets (land, tools, energy) require explicit, time-bound community consent—and can be revoked if misused or misaligned.</p>","<p>Allocate critical resources through opaque, top-down channels that favor the powerful, with no clear process for community input or revocation of misused mandates.</p>",<p>• 100% of resource mandates publicly logged with clear scope and timeline • High usage of revocation pathways without fear of reprisal • Equitable distribution of labor and physical assets</p>,"<p>Yes — Resource allocation is a transparent, revocable trust. Power over “who gets what” is circulated through consent, not hoarded by authority.</p>"
Consent-Based Sacred Study Mandates,practice-and-discipline,✴️ Spirituality,🤺 Study of Sacred Texts,Awakening,"<p>Implement “Consent-Based Sacred Study Mandates” where all communal text study requires explicit, revocable consent—and can be revoked if interpretation becomes dogmatic or exclusionary.</p>","<p>Impose top-down scriptural authority that silences reinterpretation, excludes non-dominant readings, and treats texts as fixed, infallible commodities.</p>",<p>• 100% of study groups include consent and revocation pathways • High engagement in co-interpretation across traditions • Reduction in dogmatic gatekeeping</p>,"<p>Yes — Mandates for “sacred study” are created and revoked by those who practice them, not by institutional decree.</p>"
Consent-Based Stewardship Mandates,values-and-compass,✴️ Spirituality,⛲ Service and Stewardship,Healing,"<p>Implement “Consent-Based Stewardship Mandates” where all service roles require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Enforce mandatory “service” that extracts labor without consent, treating stewardship as a burden rather than a sacred practice.</p>",<p>• 100% of stewardship roles include consent pathways • High satisfaction with dignity of service • Reduction in burnout and coercion</p>,"<p>Yes — Mandates for “service” are created and revoked by those who serve, not by external authority.</p>"
Consent-Based Synchronicity Mandates,transcendence-and-wonder,✴️ Spirituality,✨ Grace and Synchronicity,Awakening,"<p>Implement “Consent-Based Synchronicity Mandates” where all community decisions honor moments of grace or “meaningful coincidence”—requiring explicit, revocable consent to act on them.</p>","<p>Impose top-down interpretations of synchronicity that claim divine mandate for elite agendas, excluding community discernment of grace.</p>",<p>• 100% of synchronicity-based actions include consent pathways • High satisfaction with communal sense of grace • Reduction in spiritual coercion</p>,"<p>Yes — Mandates for grace are created and revoked by those who experience it, not by external authority.</p>"
Consent-Based Tax and Levies Framework,accounting-and-regulation,📉 Economics,🏦 Taxes and Levies,Liberation,"<p>Implement a “Consent-Based Tax and Levies Framework” where all community funding is raised through transparent, time-bound levies that require explicit, revocable consent from those funding them, with clear pathways for renegotiation or revocation.</p>","<p>Impose taxes and fees through opaque, top-down channels that favor the powerful through loopholes, while burdening the marginalized with regressive levies, with no clear process for community input or revocation.</p>",<p>• 100% of levies publicly logged with clear scope and timeline • High usage of revocation pathways without fear of reprisal • Equitable distribution of funding burdens</p>,"<p>Yes — Taxation is a sacred covenant of consent. Power to “collect funds” is circulated through transparency and revocability, not hoarded by unaccountable authorities.</p>"
Consent-Based Transit Mandates,built-form-and-transport,🌱 Ecology,🚅 Mass Transit and Public Transport,Liberation,"<p>Implement “Consent-Based Transit Mandates” where all public transit routes and schedules require explicit, revocable community consent—and can be revoked if they fail to serve equity, ecology, or dignity.</p>","<p>Impose top-down transit systems that prioritize speed and profit over accessibility, excluding marginalized neighborhoods and treating riders as revenue sources, not citizens.</p>",<p>• 100% of transit decisions include consent and revocation pathways • High ridership and trust across all demographics • Reduction in transit deserts</p>,"<p>Yes — Mandates for transit are created and revoked by those who use them, not by external authorities.</p>"
Consent-Based Vision Mandates,memory-and-projection,🪢 Culture,👻 Inspiration and Vision,Awakening,"<p>Implement “Consent-Based Vision Mandates” where all long-term community visions (e.g., 50-year plans) require explicit, revocable community consent—and can be updated as collective inspiration evolves.</p>","<p>Impose top-down “vision” documents that lock in elite priorities for decades, with no process for community input or revocation.</p>",<p>• 100% of vision mandates include consent and revocation pathways • High community ownership of shared futures • Reduction in vision-washing or performative futurism</p>,"<p>Yes — Mandates for “inspiration” are created and revoked by those who will live them, not by distant planners.</p>"
Consent & Desire Sovereignty Commons,gender-and-generations,🪢 Culture,🦚 Sexuality and Desire,Healing,"<p>Establish a “Consent &amp; Desire Sovereignty Commons” where all ages have access to inclusive, shame-free education and safe spaces to explore identity, desire, and consent—ensuring power over one’s body is self-determined.</p>","<p>Concentrate control over sexuality in institutions that pathologize non-normative desires, enforce heteronormativity, and deny youth agency over their own bodies and choices.</p>","<p>• 100% of community members have access to inclusive sexuality education • High satisfaction with bodily autonomy ""• Reduction in shame</p>","<p>Yes — Power over desire is a personal sovereignty, supported by community, not policed by authority.</p>"
Cosmic Perspective Accountability Ledger,interconnection-and-cosmology,✴️ Spirituality,🛰️ Cosmic Perspective,Awakening,<p>Maintain a public “Cosmic Perspective Accountability Ledger” that tracks how community decisions honor deep time and cosmic context—with clear protocols for community review if authority fails to act.</p>,"<p>Grant permanent authority to short-term planners who prioritize immediate profit over intergenerational and cosmic responsibility, while excluding awe-based wisdom from governance.</p>","<p>• 100% of long-term plans include “Seven Generations” impact statements • High community trust in cosmic accountability ""• Reduction in extractive</p>","<p>Yes — Authority is transparent and awe-informed. Power to “see the whole” is shared, not hoarded.</p>"
Creative Adaptation Guild,creativity-and-recreation,🪢 Culture,🍄 Innovation and Adaptation,Making,"<p>Form a “Creative Adaptation Guild” of rotating community members who steward a living repository of open-source designs, artistic techniques, and adaptive practices—ensuring authority serves innovation, not intellectual property hoarding.</p>","<p>Grant permanent authority to corporations and institutions to control innovation through patents, copyright, and proprietary systems that criminalize sharing and adaptation.</p>","<p>• High rate of open-source design adoption and adaptation""• Low participation in proprietary• Rapid community response to changing conditions through creative reuse</p>",<p>Yes — Authority over innovation is temporary and shared. Power to adapt is a community right.</p>
Creative Tension Harvesting Council,ethics-and-accountability,☀️ Politics,✊ Prescription and Contention,Healing,"<p>Form a “Creative Tension Harvesting Council” that proactively frames ethical disagreements not as threats, but as sources of creative energy and resilience—using structured dialogue to transform contention into innovation.</p>","<p>Engineer or exploit ethical disagreements to create division, fear, and power struggles—framing moral tension as a zero-sum battle to be won, not a collective resource to be harvested.</p>",<p>• High rate of contentious issues leading to innovative solutions  • Increased trust in the community’s ability to hold complexity  • Reduction in ethical polarization and siloing</p>,<p>Yes — Contention is a vital feedback loop. Power to “disagree well” is cultivated as a community skill.</p>
Deep Ecology Mandate Framework,interconnection-and-cosmology,✴️ Spirituality,🛰️ Deep Ecology,Awakening,<p>Implement a “Deep Ecology Mandate Framework” where all community actions require explicit alignment with the principle that “all beings have intrinsic worth”—ensuring accountability to the more-than-human world.</p>,"<p>Enforce anthropocentric policies that treat nature as a resource inventory, with no mechanisms to hold humans accountable to ecological health.</p>",<p>• 100% of community actions include Deep Ecology impact assessments • High trust in ecological governance • Steady increase in rights-of-nature protections</p>,"<p>Yes — Accountability ensures human action serves ecological flourishing, not extraction.</p>"
Ecological Consciousness Sovereignty Commons,interconnection-and-cosmology,✴️ Spirituality,🛰️ Ecological Consciousness,Awakening,"<p>Establish an “Ecological Consciousness Sovereignty Commons” where all community members share stewardship of the felt sense of interbeing—ensuring power over ecological awareness is distributed, not concentrated in credentialed elites.</p>","<p>Concentrate ecological authority in scientists and institutions that treat nature as an object to be studied, excluding community-based, embodied wisdom.</p>",<p>• High participation in “Council of All Beings” rituals • Steady increase in biodiversity stewardship • Reduction in human-nature dissociation</p>,"<p>Yes — Power over “ecological knowing” is a shared commons, not a professional monopoly.</p>"
Equitable Participation & Rotation System,labor-and-welfare,📉 Economics,🗳️ Participation and Equity,Liberation,"<p>Implement an “Equitable Participation &amp; Rotation System” where essential but less desirable tasks are made visible, shared, and rotated equitably—ensuring authority serves fairness, not convenience.</p>","<p>Grant permanent exemptions from undesirable work to the powerful, while burdening the marginalized with “essential” labor that is undervalued and invisible.</p>",<p>• 100% of essential tasks are publicly logged and rotated • High satisfaction with fairness of work distribution • Reduction in resentment and burnout</p>,"<p>Yes — Authority ensures equitable participation, not permanent privilege.</p>"
Ethical Impact Assessments,law-and-justice,☀️ Politics,⚖️ Fairness and Prudence,Liberation,"<p>Require a mandatory “Ethical Impact Assessment” for all major decisions, evaluating how they affect fairness, long-term resilience, and the well-being of all beings (human and more-than-human). Accountability is proactive, not reactive.</p>","<p>Conduct narrow, technical “cost-benefit analyses” that externalize social and ecological costs, prioritizing short-term efficiency over long-term fairness and ignoring the well-being of the vulnerable.</p>",<p>• 100% of major decisions include public Ethical Impact Assessments  • Reduction in unintended negative consequences  • High community confidence in decision-making integrity</p>,<p>Yes — Accountability is woven into the fabric of governance. Power to assess impact is transparent and participatory.</p>
Friendship & Affinity Accountability Pacts,identity-and-engagement,🪢 Culture,😜 Friendship and Affinity,Healing,"<p>Implement “Friendship &amp; Affinity Accountability Pacts” where affinity groups (e.g., LGBTQ+, youth, elders) co-create mutual support agreements—and hold each other accountable to inclusive, non-tribal practices that strengthen the whole community.</p>","<p>Allow affinity groups to become siloed echo chambers that reinforce division, with no mechanisms to ensure accountability to the broader community or to prevent gatekeeping.</p>",<p>• High rates of cross-affinity collaboration • Strong internal accountability within groups • Reduction in inter-group conflict and mistrust</p>,"<p>Yes — Accountability flows from relationship, not hierarchy. Power to “choose your people” is balanced with responsibility to the whole.</p>"
Gratitude Accountability Ledger,transcendence-and-wonder,✴️ Spirituality,✨ Gratitude and Appreciation,Awakening,<p>Maintain a public “Gratitude Accountability Ledger” that tracks how appreciation flows across human and more-than-human relationships—with clear protocols for community review if authority fails to act.</p>,"<p>Grant permanent authority to leaders who perform gratitude as PR while extracting value, hiding their lack of genuine appreciation behind spectacle.</p>",<p>• 100% of community actions include gratitude reflections• High trust in “Appreciation Equity Index”• Reduction in extractive</p>,"<p>Yes — Authority is transparent and grateful. Power to “give thanks” is shared, not staged.</p>"
Healing Circle Accountability Commons,community-and-ceremony,✴️ Spirituality,🎑 Communal Healing,Healing,"<p>Establish a “Healing Circle Accountability Commons” where all communal healing spaces are co-facilitated by rotating community members—ensuring power over healing is shared, not concentrated in credentialed healers.</p>","<p>Concentrate healing authority in professionalized therapists or clergy who pathologize grief and exclude community-based, peer-led processes.</p>",<p>• High participation in peer-led healing circles • Strong trust in communal emotional safety • Reduction in healing-as-commodity</p>,"<p>Yes — Power over “healing” is a shared, rotating service—not a permanent role.</p>"
Heritage Stewardship Commons,memory-and-projection,🪢 Culture,👻 Heritage and Inheritance,Healing,"<p>Establish a “Heritage Stewardship Commons” where all community members share responsibility for caring for cultural assets—ensuring power over inheritance is distributed, not centralized in institutions.</p>","<p>Concentrate control of heritage in museums, archives, or elite families that gatekeep access, monetize culture, and exclude marginalized voices from stewardship.</p>",<p>• 100% of heritage assets publicly accessible • High participation in stewardship roles • Revitalization of endangered cultural practices</p>,"<p>Yes — Power over heritage is shared through rotating, community-led stewardship.</p>"
Hospitality-Based Mandate Revocation,dialogue-and-reconciliation,☀️ Politics,🕊️ Reception and Hospitality,Liberation,"<p>Replace punitive mandate revocation with a “Hospitality-Based Mandate Revocation” process: when a mandate-holder’s authority is challenged, they are first welcomed into a restorative circle to understand the harm, with revocation as a last resort paired with support for their transition.</p>","<p>Revoke mandates through cold, bureaucratic procedures that humiliate the mandate-holder, offer no support for transition, and treat them as a disposable failure—reinforcing a culture of fear and perfectionism.</p>",<p>• 100% of mandate revocations include a restorative dialogue  • High satisfaction with dignity of the revocation process  • Low rates of retaliation or disengagement post-revocation</p>,"<p>Yes — Revocation is an act of care, not punishment. Power to “lose authority” is held with compassion, not weaponized.</p>"
Housing Guarantor Accountability Ledger,habitat-and-settlements,🌱 Ecology,🏘️ Abode and Housing,Liberation,"<p>Maintain a public “Housing Guarantor Accountability Ledger” that tracks all housing units for affordability, habitability, and ecological performance—with clear protocols for community enforcement and redress if standards are violated.</p>","<p>Grant landlords and developers permanent authority to extract rent and degrade housing quality, while obscuring data and excluding tenants from oversight.</p>",<p>• 100% of housing units meet affordability and ecological standards • High trust in housing governance • Zero homelessness or housing insecurity</p>,"<p>Yes — Accountability ensures housing serves dignity, not profit.</p>"
Housing Guarantor Commons,wealth-and-distribution,📉 Economics,💸 Housing and Subsistence,Liberation,"<p>Create a “Housing Guarantor Commons” where all housing is held in a community land trust, with access guaranteed as a human right—structured through participatory design and equitable allocation.</p>","<p>Treat housing as a commodity to be hoarded, speculated on, and excluded from community control, with participation limited to those who can afford to buy in.</p>","<p>• 100% of residents have secure, affordable housing • High participation in housing design and governance • Zero homelessness or housing insecurity</p>","<p>Yes — Participation in housing is structured for universal access, not market exclusion.</p>"
Ideological Power Mapping Council,beliefs-and-ideas,🪢 Culture,🧿 Ideologies and Imaginaries,Liberation,"<p>Form an “Ideological Power Mapping Council” that publicly tracks which worldviews hold institutional power, ensuring marginalized imaginations are centered in decision-making.</p>","<p>Concentrate cultural power in dominant ideologies that frame alternatives as “unrealistic” or “dangerous,” while claiming neutrality and universality.</p>",<p>• 100% of dominant ideologies publicly mapped with sources of power • High representation of marginalized worldviews in governance • Reduction in ideological monoculture</p>,"<p>Yes — Power over “what is imaginable” is made visible and shared, not hidden and hoarded.</p>"
Inclusive Beauty Participation System,transcendence-and-wonder,✴️ Spirituality,✨ Beauty and Aesthetics,Awakening,<p>Implement an “Inclusive Beauty Participation System” where all residents co-create public art and natural spaces—ensuring participation is structured for equity across sensory needs and cultural aesthetics.</p>,"<p>Design beauty for the privileged while excluding others through cost, jargon, or cultural inaccessibility, treating aesthetics as a luxury rather than a shared right.</p>",<p>• 100% of public spaces co-designed with community input • High usage across demographics • Reduction in aesthetic segregation</p>,"<p>Yes — Participation in beauty is structured for inclusion, not exclusion.</p>"
Inclusive Birth & Babyhood Participation System,gender-and-generations,🪢 Culture,🦚 Birth and Babyhood,Healing,"<p>Design an “Inclusive Birth &amp; Babyhood Participation System” where all birthing people and caregivers have access to culturally competent, community-supported care—with participation structured to include elders, youth, and diverse cultural practices.</p>","<p>Structure birth and early care as a medicalized, privatized transaction that excludes community, pathologizes natural processes, and marginalizes non-dominant cultural practices.</p>",<p>• 100% of births supported by community doula networks • High satisfaction across cultural and gender identities • Reduction in medicalized interventions and trauma</p>,"<p>Yes — Participation in birth and babyhood is structured for inclusion, not exclusion.</p>"
Inclusive Capacity Building Commons,labor-and-welfare,📉 Economics,🗳️ Capacity and Productivity,Making,"<p>Create an “Inclusive Capacity Building Commons” where all community members have access to skill development, tools, and mentorship—structured to include those with different learning styles, abilities, and time constraints.</p>","<p>Gatekeep skill development through cost, jargon, and inflexible schedules, ensuring only the already-empowered can access high-productivity roles.</p>","<p>• 95%+ accessibility rate for capacity-building resources • High skill diversification across the community ""• Reduction in productivity gaps by race</p>","<p>Yes — Participation in skill-building is structured for inclusion, not exclusion.</p>"
Inclusive Care & Comfort Commons,wellbeing-and-health,🪢 Culture,🧘 Care and Comfort,Healing,"<p>Create an “Inclusive Care &amp; Comfort Commons” where all community members can access and offer care—structured to include those with different abilities, needs, and time constraints.</p>","<p>Design care systems that exclude through cost, bureaucracy, or cultural inaccessibility, treating comfort as a commodity rather than a shared right.</p>",<p>• 95%+ accessibility to care and comfort resources • High reciprocity in care exchange (givers and receivers rotate) • Reduction in care deserts and burnout</p>,"<p>Yes — Participation in care is structured for inclusion, not exclusion.</p>"
Inclusive Climate Participation System,water-and-air,🌱 Ecology,🌊 Climate and Temperature,Liberation,"<p>Implement an “Inclusive Climate Participation System” where all residents co-design microclimate strategies (e.g., urban forests, cool corridors)—ensuring participation is structured for equity across ages, abilities, and neighborhoods.</p>","<p>Design climate adaptation for the wealthy (e.g., private cooling) while excluding vulnerable communities from planning, reinforcing heat inequity.</p>",<p>• 100% of neighborhoods involved in microclimate design • Reduction in urban heat island effect across all zones • High satisfaction with thermal comfort</p>,"<p>Yes — Participation in climate resilience is structured for inclusion, not exclusion.</p>"
Inclusive Construction & Building Commons,technology-and-infrastructure,📉 Economics,🖥️ Construction and Building,Making,"<p>Create an “Inclusive Construction &amp; Building Commons” where all community members have access to open-source building plans, local materials, and skill-sharing—structured to include those with different abilities, time constraints, and learning styles.</p>","<p>Gatekeep construction knowledge through proprietary designs, expensive certifications, and exclusionary zoning, ensuring only the already-empowered can shape the built environment.</p>",<p>• 95%+ accessibility to building resources and training • High rate of community-led construction projects • Reduction in unaffordable or ecologically harmful building</p>,"<p>Yes — Participation in building is structured for inclusion, not exclusion.</p>"
Inclusive Craft Guilds,production-and-resourcing,📉 Economics,⚒️ Art and Craft,Healing,"<p>Form “Inclusive Craft Guilds” that center traditional knowledge, intergenerational skill-sharing, and accessible apprenticeships—ensuring art and craft are communal practices, not luxury commodities.</p>","<p>Exclude marginalized artisans from markets through gatekeeping, credentialism, and commodification, treating craft as a status symbol rather than a living cultural practice.</p>","<p>• High participation across ages, genders, and backgrounds • Revitalization of endangered craft traditions • Craft integrated into community rituals and daily life</p>","<p>Yes — Art and craft are co-created and shared. Power to “make beauty” is a community right, not a market privilege.</p>"
Inclusive Custom Co-Creation System,memory-and-projection,🪢 Culture,👻 Indignity and Custom,Healing,"<p>Implement an “Inclusive Custom Co-Creation System” where all community members can propose, adapt, and retire customs through participatory design—ensuring no one is excluded by outdated or harmful norms.</p>","<p>Enforce customs as rigid, unchangeable rules that marginalize those who don’t conform, using social pressure and shame to maintain conformity.</p>",<p>• High participation in custom evolution processes • Reduction in exclusionary or harmful customs • Strong community trust in cultural flexibility</p>,"<p>Yes — Participation in custom-making is structured for inclusion, not enforcement.</p>"
Inclusive Deliberation Commons,communication-and-critique,☀️ Politics,📰 Opinion and Analysis,Healing,"<p>Design “Inclusive Deliberation Commons”—physical and digital spaces with trained facilitators, translation services, and accessibility protocols that ensure all community voices can contribute to public analysis and opinion-forming.</p>","<p>Design public discourse to favor those with resources (e.g., expensive media access, insider networks), excluding others through cost, jargon, and procedural complexity, creating a facade of “open debate” that masks systemic bias.</p>","<p>• 95%+ accessibility rate for all community members in public forums ""• No significant disparity in participation by race• High satisfaction with fairness of deliberative processes</p>",<p>Yes — Opinion and analysis are co-created through inclusive design. Power to shape “the narrative” is distributed class or ability not hoarded.</p>
Inclusive Embodiment Participation System,practice-and-discipline,✴️ Spirituality,🤺 Body Awareness Practices,Healing,"<p>Implement an “Inclusive Embodiment Participation System” where all somatic practices (yoga, dance, breathwork) are co-designed for accessibility across ages, abilities, and sensory needs.</p>","<p>Design body practices that exclude through cost, ableism, and rigid aesthetics, treating movement as a tool for appearance rather than connection.</p>",<p>• 95%+ accessibility to embodiment spaces and activities • High participation across demographics • Reduction in body shame and alienation</p>,"<p>Yes — Participation in embodiment is structured for inclusion, not exclusion.</p>"
Inclusive Energy Participation System,materials-and-energy,🌱 Ecology,🔋 Electricity and Gas,Liberation,"<p>Implement an “Inclusive Energy Participation System” where all residents co-manage decentralized, renewable energy grids through rotating roles and transparent dashboards.</p>","<p>Structure energy access through opaque, centralized utilities that exclude community input, prioritize profit over equity, and punish conservation as “lost revenue.”</p>",<p>• 100% of energy decisions involve community input • High trust in energy governance • Reduced per-capita consumption without hardship</p>,"<p>Yes — Participation in energy is structured for inclusion, not exclusion.</p>"
Inclusive Faith & Practice Commons,identity-and-engagement,🪢 Culture,😜 Religion and Faith,Healing,"<p>Create an “Inclusive Faith &amp; Practice Commons” where all spiritual and philosophical traditions are honored as valid paths, with shared sacred spaces and participatory structures that ensure no single faith dominates.</p>","<p>Grant institutional authority to one faith tradition while marginalizing others as “private” or “irrational,” using policy and space to enforce spiritual conformity.</p>",<p>• 100% of faith traditions have access to sacred space and community recognition • High interfaith collaboration and mutual learning • Reduction in spiritual erasure or coercion</p>,"<p>Yes — Participation in spiritual life is structured for inclusion, not exclusion.</p>"
Inclusive Forest Stewardship System,flora-and-fauna,🌱 Ecology,🦖 Trees and Shrubs,Liberation,<p>Implement an “Inclusive Forest Stewardship System” where all residents co-manage woodlands through rotating roles and transparent planning—ensuring participation is structured for equity across ages and abilities.</p>,"<p>Design forest management for timber extraction or elite recreation, excluding community input and ignoring ecological and cultural values of trees.</p>",<p>• 100% of woodland areas under community stewardship • High participation in tree planting and care • Reduction in deforestation and fragmentation</p>,"<p>Yes — Participation in forest care is structured for inclusion, not exclusion.</p>"
Inclusive Justice Participation System,values-and-compass,✴️ Spirituality,⛲ Justice and Equity,Liberation,"<p>Implement an “Inclusive Justice Participation System” where all community members co-design restorative processes—ensuring participation is structured for equity across identity, ability, and power.</p>","<p>Design justice systems that exclude the marginalized through cost, jargon, and bias, while claiming “impartiality” for the already-privileged.</p>",<p>• 100% of justice processes include co-design input • High satisfaction with fairness across demographics • Reduction in systemic harm</p>,"<p>Yes — Participation in justice is structured for inclusion, not exclusion.</p>"
Inclusive Movement Participation System,embodiment-and-sustenance,🌱 Ecology,🏋️ Exercise and Fitness,Healing,"<p>Implement an “Inclusive Movement Participation System” where all physical activities—trail building, dance, gardening—are co-designed for accessibility across ages, abilities, and bodies.</p>","<p>Design fitness culture that excludes through cost, ableism, and narrow aesthetics, treating movement as a tool for appearance rather than connection.</p>",<p>• 95%+ accessibility to movement spaces and activities • High participation across demographics • Reduction in movement shame and alienation</p>,"<p>Yes — Participation in movement is structured for inclusion, not exclusion.</p>"
Inclusive Parklands Co-Design System,habitat-and-settlements,🌱 Ecology,🏘️ Parklands and Reserves,Liberation,"<p>Implement an “Inclusive Parklands Co-Design System” where all residents co-create green spaces through rotating working groups—ensuring participation is structured for equity across ages, abilities, and neighborhoods.</p>","<p>Design parks for elite recreation or passive consumption, excluding community input and ignoring ecological and cultural values of green space.</p>",<p>• 100% of parklands co-designed with community input • High usage across all demographics • Integration of habitat corridors and cultural gathering spaces</p>,"<p>Yes — Participation in park creation is structured for inclusion, not exclusion.</p>"
Inclusive Pedagogy Co-Creation System,enquiry-and-learning,🪢 Culture,💡 Teaching and Training,Healing,"<p>Implement an “Inclusive Pedagogy Co-Creation System” where all teaching and training is co-designed with learners—ensuring participation is structured for accessibility, relevance, and mutual growth.</p>","<p>Design education systems that exclude through cost, credentialism, and rigid curricula, treating teaching as a one-way transfer from expert to passive recipient.</p>",<p>• 95%+ accessibility to learning across abilities and backgrounds • High satisfaction with relevance and dignity in education • Reduction in learning trauma and alienation</p>,"<p>Yes — Participation in teaching is structured for co-creation, not extraction.</p>"
Inclusive Performance Commons,creativity-and-recreation,🪢 Culture,🍄 Performance and Representation,Healing,"<p>Establish an “Inclusive Performance Commons” where all stories, bodies, and identities can be represented on stage and screen—ensuring power over narrative is shared, not concentrated in dominant voices.</p>","<p>Concentrate storytelling power in corporate media that marginalizes, stereotypes, or erases non-dominant identities, treating representation as a commodity to be granted, not a right.</p>",<p>• 100% of community stories have platforms for expression • High participation in community-led performances • Reduction in harmful stereotypes in public narrative</p>,"<p>Yes — Power over representation is a shared commons, not a gatekept privilege.</p>"
Inclusive Relational Participation System,interconnection-and-cosmology,✴️ Spirituality,🛰️ Relational Ontology,Awakening,<p>Implement an “Inclusive Relational Participation System” where all governance structures are designed as dynamic webs of relationship—not hierarchies—ensuring participation is structured for equity across all beings.</p>,"<p>Design governance as rigid hierarchies that treat relationships as transactional, excluding non-human voices and marginalizing relational ways of knowing.</p>","<p>• 100% of decision-making spaces use relational, circular formats • High satisfaction with inclusivity of non-human perspectives • Reduction in domination-based power structures</p>","<p>Yes — Participation is structured as a web, not a pyramid.</p>"
Inclusive Road Diet Participation System,built-form-and-transport,🌱 Ecology,🚅 Motorized Transport and Roads,Liberation,"<p>Implement an “Inclusive Road Diet Participation System” where all road redesigns (e.g., reducing lanes for cars) are co-created with residents through rotating working groups—ensuring participation is structured for equity across ages, abilities, and mobility needs.</p>","<p>Design roads exclusively for high-speed, high-volume car traffic, excluding pedestrians, cyclists, and public transit, while silencing community input on safety and livability.</p>",<p>• 100% of road redesigns involve community co-creation • Reduction in traffic violence and emissions • High satisfaction with street safety and beauty</p>,"<p>Yes — Participation in road design is structured for inclusion, not exclusion.</p>"
Inclusive Sacred Space Participation System,community-and-ceremony,✴️ Spirituality,🎑 Sacred Space Creation,Awakening,"<p>Design an “Inclusive Sacred Space Participation System” where all residents co-create physical and virtual sacred spaces—ensuring participation is structured for accessibility across sensory needs, mobility, and spiritual traditions.</p>","<p>Design sacred spaces that exclude through cost, dogma, or cultural inaccessibility, treating them as elite or private domains rather than community commons.</p>",<p>• 100% of sacred spaces co-designed with community input • High usage across spiritual and secular identities • Reduction in spiritual segregation</p>,"<p>Yes — Participation in sacred space is structured for inclusion, not exclusion.</p>"
Inclusive Sanctuary Co-Design Process,security-and-accord,☀️ Politics,🛡️ Protection and Shelter,Healing,"<p>Design emergency shelters and safe spaces through an “Inclusive Co-Design Process” that centers the needs of the most vulnerable (e.g., unhoused, disabled, LGBTQ+), with community members on design teams and ongoing feedback loops.</p>","<p>Build shelters and safety infrastructure that exclude or segregate the marginalized (e.g., gendered shelters without trans inclusion, shelters with abstinence requirements), designed by distant experts with no community input.</p>",<p>• 100% of shelters co-designed with vulnerable populations • High satisfaction scores across all user groups • Near-zero exclusion rates</p>,<p>Yes — Protection is co-created with those most at risk—not designed for them by outsiders.</p>
Inclusive Sanitation Participation System,emission-and-waste,🌱 Ecology,🛢️ Sewerage and Sanitation,Liberation,"<p>Implement an “Inclusive Sanitation Participation System” where all residents co-design human waste systems (e.g., composting toilets)—ensuring participation is structured for dignity across ages, abilities, and cultures.</p>","<p>Design sanitation for the privileged while excluding the marginalized, treating human waste as a taboo to be hidden, not a resource to be cycled.</p>",<p>• 100% of sanitation systems are dignified and ecological • High usage across all demographics • Zero untreated sewage discharge</p>,"<p>Yes — Participation in sanitation is structured for inclusion, not exclusion.</p>"
Inclusive Solitude Participation System,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Silence and Solitude,Awakening,"<p>Implement an “Inclusive Solitude Participation System” where all residents have access to quiet, protected spaces for reflection—ensuring participation is structured for equity across sensory needs and lifestyles.</p>","<p>Design public and private spaces that pathologize silence as “antisocial” or “unproductive,” while bombarding all environments with noise, light, and distraction.</p>",<p>• 100% of neighborhoods have accessible quiet zones • High usage across demographics • Reduction in attentional exhaustion</p>,"<p>Yes — Participation in silence is structured for inclusion, not exclusion.</p>"
Inclusive Spirituality Participation Commons,beliefs-and-ideas,🪢 Culture,🧿 Religiosity and Spirituality,Healing,"<p>Create an “Inclusive Spirituality Participation Commons” where all spiritual and philosophical traditions are honored as valid paths, with shared sacred spaces and participatory structures that ensure no single faith dominates.</p>","<p>Grant institutional authority to one faith tradition while marginalizing others as “private” or “irrational,” using policy and space to enforce spiritual conformity.</p>",<p>• 100% of spiritual traditions have access to sacred space and community recognition • High interfaith collaboration and mutual learning • Reduction in spiritual erasure or coercion</p>,"<p>Yes — Participation in spiritual life is structured for inclusion, not exclusion.</p>"
Inclusive Symbolic Participation System,meaning-and-narrative,✴️ Spirituality,🌀 Metaphor and Symbolism,Awakening,"<p>Design an “Inclusive Symbolic Participation System” where all residents co-create and interpret community symbols—ensuring participation is structured for accessibility across languages, abilities, and spiritual traditions.</p>","<p>Design symbols that exclude through cost, dogma, or cultural inaccessibility, treating them as elite or private domains rather than community commons.</p>",<p>• 100% of major community symbols co-created with input • High usage across spiritual and secular identities • Reduction in symbolic segregation</p>,"<p>Yes — Participation in symbolism is structured for inclusion, not exclusion.</p>"
