Regenerative Action,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Consent-Based Place Mandates,consent-based-place-mandates,6925b5b049ecd80b47887089,6925fda2b81579bea840bbcb,false,false,Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),,identity-and-engagement,🪢 Culture,😜 Home and Place,Liberation,"<p>Implement “Consent-Based Place Mandates” where all decisions about public space, housing, and place-making require explicit, revocable community consent—ensuring no one is excluded from shaping the places they call home.</p>","<p>Enforce top-down urban planning that displaces marginalized communities, treats “home” as a commodity, and excludes residents from decisions about their own neighborhoods.</p>",<p>• 100% of place-making decisions include community consent • Zero displacement due to development • High satisfaction with sense of place across all groups</p>,"<p>Yes — Mandates for “home” are created and revoked by those who live there, not by external authorities.</p>"
Consent-Based Reflexivity Mandates,consent-based-reflexivity-mandates,6925b5b049ecd80b47887089,6925fda554fa3ee42a61bc7a,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,enquiry-and-learning,🪢 Culture,💡 Meditation and Reflexivity,Healing,"<p>Implement “Consent-Based Reflexivity Mandates” where all introspective practices (e.g., meditation, journaling) are offered with explicit, revocable consent—ensuring no one is forced into inner work for others’ agendas.</p>","<p>Enforce mandatory “wellness” or “mindfulness” programs that extract emotional labor, pathologize resistance, and treat inner life as a tool for productivity, not liberation.</p>",<p>• 100% of introspective practices include consent and revocation pathways • High emotional safety scores across all groups • Reduction in spiritual bypassing and coercion</p>,"<p>Yes — Mandates for “inner work” are created and revoked by those who practice them, not by external authority.</p>"
Consent-Based Renewable Mandates,consent-based-renewable-mandates,6925b5b049ecd80b47887089,6925fda5e4e0b0e690efd72b,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,materials-and-energy,🌱 Ecology,🔋 Renewables and Recyclables,Liberation,"<p>Implement “Consent-Based Renewable Mandates” where all new renewable projects require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down renewable projects (e.g., industrial solar farms) that displace communities, ignore ecological impact, and exclude local input under the guise of “climate action.”</p>",<p>• 100% of renewable projects include consent and revocation pathways • High satisfaction with energy sovereignty • Reduction in green colonialism and land conflict</p>,"<p>Yes — Mandates for renewables are created and revoked by those who live with them, not by external authorities.</p>"
Consent-Based Resource Mandates,consent-based-resource-mandates,6925b5b049ecd80b47887089,6925fd9e351432aa6eb7d963,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,production-and-resourcing,📉 Economics,⚒️ Human and Physical Resources,Liberation,"<p>Implement “Consent-Based Resource Mandates” where all major allocations of human time and physical assets (land, tools, energy) require explicit, time-bound community consent—and can be revoked if misused or misaligned.</p>","<p>Allocate critical resources through opaque, top-down channels that favor the powerful, with no clear process for community input or revocation of misused mandates.</p>",<p>• 100% of resource mandates publicly logged with clear scope and timeline • High usage of revocation pathways without fear of reprisal • Equitable distribution of labor and physical assets</p>,"<p>Yes — Resource allocation is a transparent, revocable trust. Power over “who gets what” is circulated through consent, not hoarded by authority.</p>"
Consent-Based Sacred Study Mandates,consent-based-sacred-study-mandates,6925b5b049ecd80b47887089,6925fdaa3681994b3d64e124,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,practice-and-discipline,✴️ Spirituality,🤺 Study of Sacred Texts,Awakening,"<p>Implement “Consent-Based Sacred Study Mandates” where all communal text study requires explicit, revocable consent—and can be revoked if interpretation becomes dogmatic or exclusionary.</p>","<p>Impose top-down scriptural authority that silences reinterpretation, excludes non-dominant readings, and treats texts as fixed, infallible commodities.</p>",<p>• 100% of study groups include consent and revocation pathways • High engagement in co-interpretation across traditions • Reduction in dogmatic gatekeeping</p>,"<p>Yes — Mandates for “sacred study” are created and revoked by those who practice them, not by institutional decree.</p>"
Consent-Based Stewardship Mandates,consent-based-stewardship-mandates,6925b5b049ecd80b47887089,6925fdaaa8b92c596faf1df7,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,values-and-compass,✴️ Spirituality,⛲ Service and Stewardship,Healing,"<p>Implement “Consent-Based Stewardship Mandates” where all service roles require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Enforce mandatory “service” that extracts labor without consent, treating stewardship as a burden rather than a sacred practice.</p>",<p>• 100% of stewardship roles include consent pathways • High satisfaction with dignity of service • Reduction in burnout and coercion</p>,"<p>Yes — Mandates for “service” are created and revoked by those who serve, not by external authority.</p>"
Consent-Based Synchronicity Mandates,consent-based-synchronicity-mandates,6925b5b049ecd80b47887089,6925fdabf52fd9ee1cf62158,false,false,Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),,transcendence-and-wonder,✴️ Spirituality,✨ Grace and Synchronicity,Awakening,"<p>Implement “Consent-Based Synchronicity Mandates” where all community decisions honor moments of grace or “meaningful coincidence”—requiring explicit, revocable consent to act on them.</p>","<p>Impose top-down interpretations of synchronicity that claim divine mandate for elite agendas, excluding community discernment of grace.</p>",<p>• 100% of synchronicity-based actions include consent pathways • High satisfaction with communal sense of grace • Reduction in spiritual coercion</p>,"<p>Yes — Mandates for grace are created and revoked by those who experience it, not by external authority.</p>"
Consent-Based Tax and Levies Framework,consent-based-tax-and-levies-framework,6925b5b049ecd80b47887089,6925fd9fa738b5901119fd30,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,accounting-and-regulation,📉 Economics,🏦 Taxes and Levies,Liberation,"<p>Implement a “Consent-Based Tax and Levies Framework” where all community funding is raised through transparent, time-bound levies that require explicit, revocable consent from those funding them, with clear pathways for renegotiation or revocation.</p>","<p>Impose taxes and fees through opaque, top-down channels that favor the powerful through loopholes, while burdening the marginalized with regressive levies, with no clear process for community input or revocation.</p>",<p>• 100% of levies publicly logged with clear scope and timeline • High usage of revocation pathways without fear of reprisal • Equitable distribution of funding burdens</p>,"<p>Yes — Taxation is a sacred covenant of consent. Power to “collect funds” is circulated through transparency and revocability, not hoarded by unaccountable authorities.</p>"
Consent-Based Transit Mandates,consent-based-transit-mandates,6925b5b049ecd80b47887089,6925fda7d163b944025971f1,false,false,Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),,built-form-and-transport,🌱 Ecology,🚅 Mass Transit and Public Transport,Liberation,"<p>Implement “Consent-Based Transit Mandates” where all public transit routes and schedules require explicit, revocable community consent—and can be revoked if they fail to serve equity, ecology, or dignity.</p>","<p>Impose top-down transit systems that prioritize speed and profit over accessibility, excluding marginalized neighborhoods and treating riders as revenue sources, not citizens.</p>",<p>• 100% of transit decisions include consent and revocation pathways • High ridership and trust across all demographics • Reduction in transit deserts</p>,"<p>Yes — Mandates for transit are created and revoked by those who use them, not by external authorities.</p>"
Consent-Based Vision Mandates,consent-based-vision-mandates,6925b5b049ecd80b47887089,6925fda32884e99a221730b1,false,false,Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),,memory-and-projection,🪢 Culture,👻 Inspiration and Vision,Awakening,"<p>Implement “Consent-Based Vision Mandates” where all long-term community visions (e.g., 50-year plans) require explicit, revocable community consent—and can be updated as collective inspiration evolves.</p>","<p>Impose top-down “vision” documents that lock in elite priorities for decades, with no process for community input or revocation.</p>",<p>• 100% of vision mandates include consent and revocation pathways • High community ownership of shared futures • Reduction in vision-washing or performative futurism</p>,"<p>Yes — Mandates for “inspiration” are created and revoked by those who will live them, not by distant planners.</p>"
Consent & Desire Sovereignty Commons,consent-desire-sovereignty-commons,6925b5b049ecd80b47887089,6925fda4cd49baac0bdb90f6,false,false,Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),,gender-and-generations,🪢 Culture,🦚 Sexuality and Desire,Healing,"<p>Establish a “Consent &amp; Desire Sovereignty Commons” where all ages have access to inclusive, shame-free education and safe spaces to explore identity, desire, and consent—ensuring power over one’s body is self-determined.</p>","<p>Concentrate control over sexuality in institutions that pathologize non-normative desires, enforce heteronormativity, and deny youth agency over their own bodies and choices.</p>","<p>• 100% of community members have access to inclusive sexuality education • High satisfaction with bodily autonomy ""• Reduction in shame</p>","<p>Yes — Power over desire is a personal sovereignty, supported by community, not policed by authority.</p>"
Cosmic Perspective Accountability Ledger,cosmic-perspective-accountability-ledger,6925b5b049ecd80b47887089,6925fda939861b9fe2142cb8,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,interconnection-and-cosmology,✴️ Spirituality,🛰️ Cosmic Perspective,Awakening,<p>Maintain a public “Cosmic Perspective Accountability Ledger” that tracks how community decisions honor deep time and cosmic context—with clear protocols for community review if authority fails to act.</p>,"<p>Grant permanent authority to short-term planners who prioritize immediate profit over intergenerational and cosmic responsibility, while excluding awe-based wisdom from governance.</p>","<p>• 100% of long-term plans include “Seven Generations” impact statements • High community trust in cosmic accountability ""• Reduction in extractive</p>","<p>Yes — Authority is transparent and awe-informed. Power to “see the whole” is shared, not hoarded.</p>"
Creative Adaptation Guild,creative-adaptation-guild,6925b5b049ecd80b47887089,6925fda220d659f9c56e901f,false,false,Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),,creativity-and-recreation,🪢 Culture,🍄 Innovation and Adaptation,Making,"<p>Form a “Creative Adaptation Guild” of rotating community members who steward a living repository of open-source designs, artistic techniques, and adaptive practices—ensuring authority serves innovation, not intellectual property hoarding.</p>","<p>Grant permanent authority to corporations and institutions to control innovation through patents, copyright, and proprietary systems that criminalize sharing and adaptation.</p>","<p>• High rate of open-source design adoption and adaptation""• Low participation in proprietary• Rapid community response to changing conditions through creative reuse</p>",<p>Yes — Authority over innovation is temporary and shared. Power to adapt is a community right.</p>
Creative Tension Harvesting Council,creative-tension-harvesting-council,6925b5b049ecd80b47887089,6925fd9e458d052ae0da2e48,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,ethics-and-accountability,☀️ Politics,✊ Prescription and Contention,Healing,"<p>Form a “Creative Tension Harvesting Council” that proactively frames ethical disagreements not as threats, but as sources of creative energy and resilience—using structured dialogue to transform contention into innovation.</p>","<p>Engineer or exploit ethical disagreements to create division, fear, and power struggles—framing moral tension as a zero-sum battle to be won, not a collective resource to be harvested.</p>",<p>• High rate of contentious issues leading to innovative solutions  • Increased trust in the community’s ability to hold complexity  • Reduction in ethical polarization and siloing</p>,<p>Yes — Contention is a vital feedback loop. Power to “disagree well” is cultivated as a community skill.</p>
Deep Ecology Mandate Framework,deep-ecology-mandate-framework,6925b5b049ecd80b47887089,6925fda956a7352d757c4952,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,interconnection-and-cosmology,✴️ Spirituality,🛰️ Deep Ecology,Awakening,<p>Implement a “Deep Ecology Mandate Framework” where all community actions require explicit alignment with the principle that “all beings have intrinsic worth”—ensuring accountability to the more-than-human world.</p>,"<p>Enforce anthropocentric policies that treat nature as a resource inventory, with no mechanisms to hold humans accountable to ecological health.</p>",<p>• 100% of community actions include Deep Ecology impact assessments • High trust in ecological governance • Steady increase in rights-of-nature protections</p>,"<p>Yes — Accountability ensures human action serves ecological flourishing, not extraction.</p>"
Ecological Consciousness Sovereignty Commons,ecological-consciousness-sovereignty-commons,6925b5b049ecd80b47887089,6925fda956a7352d757c492d,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,interconnection-and-cosmology,✴️ Spirituality,🛰️ Ecological Consciousness,Awakening,"<p>Establish an “Ecological Consciousness Sovereignty Commons” where all community members share stewardship of the felt sense of interbeing—ensuring power over ecological awareness is distributed, not concentrated in credentialed elites.</p>","<p>Concentrate ecological authority in scientists and institutions that treat nature as an object to be studied, excluding community-based, embodied wisdom.</p>",<p>• High participation in “Council of All Beings” rituals • Steady increase in biodiversity stewardship • Reduction in human-nature dissociation</p>,"<p>Yes — Power over “ecological knowing” is a shared commons, not a professional monopoly.</p>"
Equitable Participation & Rotation System,equitable-participation-rotation-system,6925b5b049ecd80b47887089,6925fda0acdd6913edd3a60c,false,false,Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),,labor-and-welfare,📉 Economics,🗳️ Participation and Equity,Liberation,"<p>Implement an “Equitable Participation &amp; Rotation System” where essential but less desirable tasks are made visible, shared, and rotated equitably—ensuring authority serves fairness, not convenience.</p>","<p>Grant permanent exemptions from undesirable work to the powerful, while burdening the marginalized with “essential” labor that is undervalued and invisible.</p>",<p>• 100% of essential tasks are publicly logged and rotated • High satisfaction with fairness of work distribution • Reduction in resentment and burnout</p>,"<p>Yes — Authority ensures equitable participation, not permanent privilege.</p>"
Ethical Impact Assessments,ethical-impact-assessments,6925b5b049ecd80b47887089,6925fd9ab2bbb54eb5b101f2,false,false,Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),,law-and-justice,☀️ Politics,⚖️ Fairness and Prudence,Liberation,"<p>Require a mandatory “Ethical Impact Assessment” for all major decisions, evaluating how they affect fairness, long-term resilience, and the well-being of all beings (human and more-than-human). Accountability is proactive, not reactive.</p>","<p>Conduct narrow, technical “cost-benefit analyses” that externalize social and ecological costs, prioritizing short-term efficiency over long-term fairness and ignoring the well-being of the vulnerable.</p>",<p>• 100% of major decisions include public Ethical Impact Assessments  • Reduction in unintended negative consequences  • High community confidence in decision-making integrity</p>,<p>Yes — Accountability is woven into the fabric of governance. Power to assess impact is transparent and participatory.</p>
Friendship & Affinity Accountability Pacts,friendship-affinity-accountability-pacts,6925b5b049ecd80b47887089,6925fda119c2336d5a3d60af,false,false,Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),,identity-and-engagement,🪢 Culture,😜 Friendship and Affinity,Healing,"<p>Implement “Friendship &amp; Affinity Accountability Pacts” where affinity groups (e.g., LGBTQ+, youth, elders) co-create mutual support agreements—and hold each other accountable to inclusive, non-tribal practices that strengthen the whole community.</p>","<p>Allow affinity groups to become siloed echo chambers that reinforce division, with no mechanisms to ensure accountability to the broader community or to prevent gatekeeping.</p>",<p>• High rates of cross-affinity collaboration • Strong internal accountability within groups • Reduction in inter-group conflict and mistrust</p>,"<p>Yes — Accountability flows from relationship, not hierarchy. Power to “choose your people” is balanced with responsibility to the whole.</p>"
Gratitude Accountability Ledger,gratitude-accountability-ledger,6925b5b049ecd80b47887089,6925fdab20d659f9c56e91fa,false,false,Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),,transcendence-and-wonder,✴️ Spirituality,✨ Gratitude and Appreciation,Awakening,<p>Maintain a public “Gratitude Accountability Ledger” that tracks how appreciation flows across human and more-than-human relationships—with clear protocols for community review if authority fails to act.</p>,"<p>Grant permanent authority to leaders who perform gratitude as PR while extracting value, hiding their lack of genuine appreciation behind spectacle.</p>",<p>• 100% of community actions include gratitude reflections• High trust in “Appreciation Equity Index”• Reduction in extractive</p>,"<p>Yes — Authority is transparent and grateful. Power to “give thanks” is shared, not staged.</p>"
Healing Circle Accountability Commons,healing-circle-accountability-commons,6925b5b049ecd80b47887089,6925fda9ae3a62e694ea1560,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,community-and-ceremony,✴️ Spirituality,🎑 Communal Healing,Healing,"<p>Establish a “Healing Circle Accountability Commons” where all communal healing spaces are co-facilitated by rotating community members—ensuring power over healing is shared, not concentrated in credentialed healers.</p>","<p>Concentrate healing authority in professionalized therapists or clergy who pathologize grief and exclude community-based, peer-led processes.</p>",<p>• High participation in peer-led healing circles • Strong trust in communal emotional safety • Reduction in healing-as-commodity</p>,"<p>Yes — Power over “healing” is a shared, rotating service—not a permanent role.</p>"
Heritage Stewardship Commons,heritage-stewardship-commons,6925b5b049ecd80b47887089,6925fda274f80edef6db0f17,false,false,Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:02 GMT+0000 (Coordinated Universal Time),,memory-and-projection,🪢 Culture,👻 Heritage and Inheritance,Healing,"<p>Establish a “Heritage Stewardship Commons” where all community members share responsibility for caring for cultural assets—ensuring power over inheritance is distributed, not centralized in institutions.</p>","<p>Concentrate control of heritage in museums, archives, or elite families that gatekeep access, monetize culture, and exclude marginalized voices from stewardship.</p>",<p>• 100% of heritage assets publicly accessible • High participation in stewardship roles • Revitalization of endangered cultural practices</p>,"<p>Yes — Power over heritage is shared through rotating, community-led stewardship.</p>"
Hospitality-Based Mandate Revocation,hospitality-based-mandate-revocation,6925b5b049ecd80b47887089,6925fd9dae3a62e694ea124c,false,false,Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),,dialogue-and-reconciliation,☀️ Politics,🕊️ Reception and Hospitality,Liberation,"<p>Replace punitive mandate revocation with a “Hospitality-Based Mandate Revocation” process: when a mandate-holder’s authority is challenged, they are first welcomed into a restorative circle to understand the harm, with revocation as a last resort paired with support for their transition.</p>","<p>Revoke mandates through cold, bureaucratic procedures that humiliate the mandate-holder, offer no support for transition, and treat them as a disposable failure—reinforcing a culture of fear and perfectionism.</p>",<p>• 100% of mandate revocations include a restorative dialogue  • High satisfaction with dignity of the revocation process  • Low rates of retaliation or disengagement post-revocation</p>,"<p>Yes — Revocation is an act of care, not punishment. Power to “lose authority” is held with compassion, not weaponized.</p>"
Housing Guarantor Accountability Ledger,housing-guarantor-accountability-ledger,6925b5b049ecd80b47887089,6925fda7019257e7cb64f4f4,false,false,Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),,habitat-and-settlements,🌱 Ecology,🏘️ Abode and Housing,Liberation,"<p>Maintain a public “Housing Guarantor Accountability Ledger” that tracks all housing units for affordability, habitability, and ecological performance—with clear protocols for community enforcement and redress if standards are violated.</p>","<p>Grant landlords and developers permanent authority to extract rent and degrade housing quality, while obscuring data and excluding tenants from oversight.</p>",<p>• 100% of housing units meet affordability and ecological standards • High trust in housing governance • Zero homelessness or housing insecurity</p>,"<p>Yes — Accountability ensures housing serves dignity, not profit.</p>"
Housing Guarantor Commons,housing-guarantor-commons,6925b5b049ecd80b47887089,6925fda1082449f3d0d8e225,false,false,Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),,wealth-and-distribution,📉 Economics,💸 Housing and Subsistence,Liberation,"<p>Create a “Housing Guarantor Commons” where all housing is held in a community land trust, with access guaranteed as a human right—structured through participatory design and equitable allocation.</p>","<p>Treat housing as a commodity to be hoarded, speculated on, and excluded from community control, with participation limited to those who can afford to buy in.</p>","<p>• 100% of residents have secure, affordable housing • High participation in housing design and governance • Zero homelessness or housing insecurity</p>","<p>Yes — Participation in housing is structured for universal access, not market exclusion.</p>"
Ideological Power Mapping Council,ideological-power-mapping-council,6925b5b049ecd80b47887089,6925fda320d659f9c56e908d,false,false,Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),,beliefs-and-ideas,🪢 Culture,🧿 Ideologies and Imaginaries,Liberation,"<p>Form an “Ideological Power Mapping Council” that publicly tracks which worldviews hold institutional power, ensuring marginalized imaginations are centered in decision-making.</p>","<p>Concentrate cultural power in dominant ideologies that frame alternatives as “unrealistic” or “dangerous,” while claiming neutrality and universality.</p>",<p>• 100% of dominant ideologies publicly mapped with sources of power • High representation of marginalized worldviews in governance • Reduction in ideological monoculture</p>,"<p>Yes — Power over “what is imaginable” is made visible and shared, not hidden and hoarded.</p>"
Inclusive Beauty Participation System,inclusive-beauty-participation-system,6925b5b049ecd80b47887089,6925fdabdfe28b1aeb2c9cb7,false,false,Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),,transcendence-and-wonder,✴️ Spirituality,✨ Beauty and Aesthetics,Awakening,<p>Implement an “Inclusive Beauty Participation System” where all residents co-create public art and natural spaces—ensuring participation is structured for equity across sensory needs and cultural aesthetics.</p>,"<p>Design beauty for the privileged while excluding others through cost, jargon, or cultural inaccessibility, treating aesthetics as a luxury rather than a shared right.</p>",<p>• 100% of public spaces co-designed with community input • High usage across demographics • Reduction in aesthetic segregation</p>,"<p>Yes — Participation in beauty is structured for inclusion, not exclusion.</p>"
Inclusive Birth & Babyhood Participation System,inclusive-birth-babyhood-participation-system,6925b5b049ecd80b47887089,6925fda4320734614ab9b520,false,false,Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),,gender-and-generations,🪢 Culture,🦚 Birth and Babyhood,Healing,"<p>Design an “Inclusive Birth &amp; Babyhood Participation System” where all birthing people and caregivers have access to culturally competent, community-supported care—with participation structured to include elders, youth, and diverse cultural practices.</p>","<p>Structure birth and early care as a medicalized, privatized transaction that excludes community, pathologizes natural processes, and marginalizes non-dominant cultural practices.</p>",<p>• 100% of births supported by community doula networks • High satisfaction across cultural and gender identities • Reduction in medicalized interventions and trauma</p>,"<p>Yes — Participation in birth and babyhood is structured for inclusion, not exclusion.</p>"
Inclusive Capacity Building Commons,inclusive-capacity-building-commons,6925b5b049ecd80b47887089,6925fd9fa3d0de91e01b1329,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,labor-and-welfare,📉 Economics,🗳️ Capacity and Productivity,Making,"<p>Create an “Inclusive Capacity Building Commons” where all community members have access to skill development, tools, and mentorship—structured to include those with different learning styles, abilities, and time constraints.</p>","<p>Gatekeep skill development through cost, jargon, and inflexible schedules, ensuring only the already-empowered can access high-productivity roles.</p>","<p>• 95%+ accessibility rate for capacity-building resources • High skill diversification across the community ""• Reduction in productivity gaps by race</p>","<p>Yes — Participation in skill-building is structured for inclusion, not exclusion.</p>"
Inclusive Care & Comfort Commons,inclusive-care-comfort-commons,6925b5b049ecd80b47887089,6925fda528be9c6fc2ee67db,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,wellbeing-and-health,🪢 Culture,🧘 Care and Comfort,Healing,"<p>Create an “Inclusive Care &amp; Comfort Commons” where all community members can access and offer care—structured to include those with different abilities, needs, and time constraints.</p>","<p>Design care systems that exclude through cost, bureaucracy, or cultural inaccessibility, treating comfort as a commodity rather than a shared right.</p>",<p>• 95%+ accessibility to care and comfort resources • High reciprocity in care exchange (givers and receivers rotate) • Reduction in care deserts and burnout</p>,"<p>Yes — Participation in care is structured for inclusion, not exclusion.</p>"
Inclusive Climate Participation System,inclusive-climate-participation-system,6925b5b049ecd80b47887089,6925fda63cda922b5d998d9d,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,water-and-air,🌱 Ecology,🌊 Climate and Temperature,Liberation,"<p>Implement an “Inclusive Climate Participation System” where all residents co-design microclimate strategies (e.g., urban forests, cool corridors)—ensuring participation is structured for equity across ages, abilities, and neighborhoods.</p>","<p>Design climate adaptation for the wealthy (e.g., private cooling) while excluding vulnerable communities from planning, reinforcing heat inequity.</p>",<p>• 100% of neighborhoods involved in microclimate design • Reduction in urban heat island effect across all zones • High satisfaction with thermal comfort</p>,"<p>Yes — Participation in climate resilience is structured for inclusion, not exclusion.</p>"
Inclusive Construction & Building Commons,inclusive-construction-building-commons,6925b5b049ecd80b47887089,6925fda08bfbd392e172f113,false,false,Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),,technology-and-infrastructure,📉 Economics,🖥️ Construction and Building,Making,"<p>Create an “Inclusive Construction &amp; Building Commons” where all community members have access to open-source building plans, local materials, and skill-sharing—structured to include those with different abilities, time constraints, and learning styles.</p>","<p>Gatekeep construction knowledge through proprietary designs, expensive certifications, and exclusionary zoning, ensuring only the already-empowered can shape the built environment.</p>",<p>• 95%+ accessibility to building resources and training • High rate of community-led construction projects • Reduction in unaffordable or ecologically harmful building</p>,"<p>Yes — Participation in building is structured for inclusion, not exclusion.</p>"
Inclusive Craft Guilds,inclusive-craft-guilds,6925b5b049ecd80b47887089,6925fd9e839049b8f547d4d6,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,production-and-resourcing,📉 Economics,⚒️ Art and Craft,Healing,"<p>Form “Inclusive Craft Guilds” that center traditional knowledge, intergenerational skill-sharing, and accessible apprenticeships—ensuring art and craft are communal practices, not luxury commodities.</p>","<p>Exclude marginalized artisans from markets through gatekeeping, credentialism, and commodification, treating craft as a status symbol rather than a living cultural practice.</p>","<p>• High participation across ages, genders, and backgrounds • Revitalization of endangered craft traditions • Craft integrated into community rituals and daily life</p>","<p>Yes — Art and craft are co-created and shared. Power to “make beauty” is a community right, not a market privilege.</p>"
Inclusive Custom Co-Creation System,inclusive-custom-co-creation-system,6925b5b049ecd80b47887089,6925fda3ab96f0646bf998b7,false,false,Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),,memory-and-projection,🪢 Culture,👻 Indignity and Custom,Healing,"<p>Implement an “Inclusive Custom Co-Creation System” where all community members can propose, adapt, and retire customs through participatory design—ensuring no one is excluded by outdated or harmful norms.</p>","<p>Enforce customs as rigid, unchangeable rules that marginalize those who don’t conform, using social pressure and shame to maintain conformity.</p>",<p>• High participation in custom evolution processes • Reduction in exclusionary or harmful customs • Strong community trust in cultural flexibility</p>,"<p>Yes — Participation in custom-making is structured for inclusion, not enforcement.</p>"
